split,image,label,image_sha256,label_sha256
test,images/test/healthy_0097.jpg,labels/test/healthy_0097.txt,bfda1992e0e1984d6d20f1530e16c602f7ef1492a7abde9e5f791a3b8144a41e,112da78b09253f6a46c416ba8c22c5595d37d2ec420d2cceddc6bc190f17f8c3
test,images/test/healthy_0098.jpg,labels/test/healthy_0098.txt,5596ed0b46adccb41e48b66dcb80aeeff3d5096bdef0538b12e0f269db5eda76,84b32707810437f3552ef36ab0bffd99340b8a66b169d939f6f5ff904d7ef5a9
test,images/test/healthy_0099.jpg,labels/test/healthy_0099.txt,88a4bee5b4eda46f4594ac99798e8e2b7a5db14e16c657a44924d7b9fff1ce5e,b243e618bbf3ea382c665a736ed2fdba79d3c8f6a0518b33c1d48690b1eaec62
test,images/test/healthy_0102.jpg,labels/test/healthy_0102.txt,546f61f774fb9a964ad7be853bf19df1d05e4b3ffc935427f406b9522c8ecff8,3a7edbea9628185028cea0c7d72f568af32689311bcb5314f74bd38e853425c4
test,images/test/healthy_0103.jpg,labels/test/healthy_0103.txt,25e2c5e9a03119e90dd44dd9eb4f8e63b8f65ad7cb0c8f9953f9b2507c2795b2,45ee5b37c76c5d91d9a64ddeecc3338b7604f938aa5bd499bad70001a9a46c4d
test,images/test/healthy_0104.jpg,labels/test/healthy_0104.txt,a0c701234b55fff9eb7c13416ad885186283b76880b31db5bb0fa0c5fff5b43d,a1f94ff71853a67243c0bfee8b4a5c2ad584769a3b87081447f2b1ece602ac70
test,images/test/healthy_0105.jpg,labels/test/healthy_0105.txt,0bcbc2376093c63de3caf15c69064a933e01cbade12266000510525fb6994f3a,36476b1b847d51f262e7cd4ba43c48f30a2db26ca009bd02b2dba5e922cee621
test,images/test/healthy_0106.jpg,labels/test/healthy_0106.txt,dbc55eddb4beec3e9033cbf4d365999ad3e79f9cd9570c84936a4272684139e9,234d44772b88e394699f93e2427c04d85f8c3b801bd221e8152d75ec8ca3154d
test,images/test/healthy_0107.jpg,labels/test/healthy_0107.txt,7149378656e277bf701c8c7b050b9deb28e740141740bca21a277e5b8fa72f02,5500b5d00913af8a908cb95aa66fe392642ae55cfe4296f24ca8008dd5020981
test,images/test/healthy_0108.jpg,labels/test/healthy_0108.txt,4a325ce30178c4d6daf50fb5725ef6c7ed9c968c83ae8b4ca9f003c2fb1d1e14,53fd9b4af06c5ac74ef65f21a88722f8c6efeb55a03f9bd74ff789d3593cbdca
