split,image,class_id,class_name,x_center,y_center,width,height,area,aspect_ratio
train,healthy_0001.jpg,0,healthy,0.535645,0.536133,0.114258,0.382812,0.043739333495999996,0.29847026738973703
train,healthy_0001.jpg,0,healthy,0.674316,0.57959,0.133789,0.379883,0.050824166687,0.35218475162089374
train,healthy_0001.jpg,0,healthy,0.40332,0.612305,0.1875,0.365234,0.068481375,0.5133695110531878
train,healthy_0001.jpg,0,healthy,0.513672,0.203125,0.095703,0.267578,0.025608017333999998,0.357663933507239
train,healthy_0002.jpg,0,healthy,0.449219,0.722656,0.232422,0.353516,0.08216489575199999,0.6574582197128277
train,healthy_0002.jpg,0,healthy,0.78125,0.440918,0.167969,0.336914,0.056591107666,0.4985515591515936
train,healthy_0002.jpg,0,healthy,0.299316,0.755371,0.37207,0.225586,0.08393378302,1.649348807106824
train,healthy_0002.jpg,0,healthy,0.437012,0.345215,0.21582,0.266602,0.05753804364,0.8095213089174125
train,healthy_0002.jpg,0,healthy,0.615723,0.32373,0.147461,0.333008,0.049105692688000004,0.44281518762312017
train,healthy_0002.jpg,0,healthy,0.670898,0.714844,0.21875,0.349609,0.07647696875,0.625698995163168
train,healthy_0003.jpg,0,healthy,0.304688,0.188965,0.212891,0.260742,0.05550962512199999,0.8164814260840219
train,healthy_0003.jpg,0,healthy,0.467285,0.1875,0.161133,0.271484,0.043745031372,0.5935266903390255
train,healthy_0003.jpg,0,healthy,0.683105,0.533203,0.256836,0.283203,0.072736725708,0.9068971726994418
train,healthy_0004.jpg,0,healthy,0.619141,0.40625,0.201172,0.353516,0.071117520752,0.569060523427511
train,healthy_0004.jpg,0,healthy,0.176758,0.714844,0.294922,0.222656,0.065666152832,1.32456345214142
train,healthy_0005.jpg,0,healthy,0.292969,0.436035,0.583984,0.610352,0.356435802368,0.956798699766692
train,healthy_0005.jpg,0,healthy,0.574219,0.541992,0.390625,0.798828,0.3120421875,0.48899763153019177
train,healthy_0005.jpg,0,healthy,0.81543,0.514648,0.25,0.724609,0.18115225,0.3450136556404903
train,healthy_0006.jpg,0,healthy,0.251953,0.431152,0.501953,0.614258,0.308328645874,0.817169658352028
train,healthy_0006.jpg,0,healthy,0.538574,0.567871,0.428711,0.72168,0.30939215448,0.5940458374903004
train,healthy_0007.jpg,0,healthy,0.432129,0.5,0.356445,0.757812,0.27011829834,0.4703607227122294
train,healthy_0008.jpg,0,healthy,0.269531,0.541016,0.292969,0.84375,0.24719259375,0.3472225185185185
train,healthy_0008.jpg,0,healthy,0.644043,0.484863,0.454102,0.708008,0.321507848816,0.6413797584208089
train,healthy_0009.jpg,0,healthy,0.150391,0.827148,0.242188,0.345703,0.083725118164,0.7005666713913388
train,healthy_0009.jpg,0,healthy,0.595215,0.605469,0.649414,0.601562,0.39066278466800003,1.0795462479345437
train,healthy_0010.jpg,0,healthy,0.306152,0.623047,0.606445,0.560547,0.33994092541500004,1.081880734354122
train,healthy_0010.jpg,0,healthy,0.668945,0.553223,0.662109,0.37207,0.24635089562999998,1.7795280457978335
train,healthy_0010.jpg,0,healthy,0.713379,0.366211,0.573242,0.273438,0.156746145996,2.0964240522531616
train,healthy_0011.jpg,0,healthy,0.316895,0.550293,0.344727,0.899414,0.310052289978,0.38327955757860116
train,healthy_0011.jpg,0,healthy,0.695801,0.582031,0.454102,0.771484,0.35033242736799997,0.5886084481337267
train,healthy_0012.jpg,0,healthy,0.223633,0.527832,0.392578,0.805664,0.316285961792,0.4872726099217539
train,healthy_0012.jpg,0,healthy,0.615234,0.608398,0.470703,0.783203,0.368656001709,0.6009974425532078
train,healthy_0013.jpg,0,healthy,0.515625,0.621582,0.216797,0.44043,0.09548390271,0.4922394024021978
train,healthy_0013.jpg,0,healthy,0.711914,0.646973,0.232422,0.424805,0.09873402770999999,0.5471263285507468
train,healthy_0013.jpg,0,healthy,0.857422,0.485352,0.285156,0.4375,0.12475575000000001,0.651785142857143
train,healthy_0013.jpg,0,healthy,0.197266,0.4375,0.392578,0.400391,0.157184697998,0.9804865743735498
train,healthy_0014.jpg,0,healthy,0.837891,0.784668,0.242188,0.424805,0.10288267334,0.5701157001447723
train,healthy_0014.jpg,0,healthy,0.401855,0.743164,0.62207,0.375,0.23327625000000002,1.6588533333333333
train,healthy_0014.jpg,0,healthy,0.651855,0.183105,0.241211,0.364258,0.087863036438,0.662198222139253
train,healthy_0014.jpg,0,healthy,0.284668,0.526855,0.567383,0.145508,0.08255876556399999,3.899325123017291
train,healthy_0014.jpg,0,healthy,0.3125,0.364746,0.623047,0.22168,0.13811705895999998,2.8105692890653198
train,healthy_0014.jpg,0,healthy,0.371582,0.231934,0.569336,0.274414,0.15623376910399997,2.074733796380651
train,healthy_0015.jpg,0,healthy,0.217285,0.236328,0.432617,0.257812,0.11153385400399998,1.6780328301242766
train,healthy_0015.jpg,0,healthy,0.248535,0.399902,0.420898,0.354492,0.14920497381599998,1.187327217539465
train,healthy_0015.jpg,0,healthy,0.241211,0.587402,0.179688,0.458008,0.082298541504,0.3923250248903949
train,healthy_0015.jpg,0,healthy,0.380859,0.64502,0.183594,0.530273,0.097354941162,0.34622543482319484
