split,image,objects,healthy_objects,unhealthy_objects,image_type
train,healthy_0001.jpg,4,4,0,Healthy only
train,healthy_0002.jpg,6,6,0,Healthy only
train,healthy_0003.jpg,3,3,0,Healthy only
train,healthy_0004.jpg,2,2,0,Healthy only
train,healthy_0005.jpg,3,3,0,Healthy only
train,healthy_0006.jpg,2,2,0,Healthy only
train,healthy_0007.jpg,1,1,0,Healthy only
train,healthy_0008.jpg,2,2,0,Healthy only
train,healthy_0009.jpg,2,2,0,Healthy only
train,healthy_0010.jpg,3,3,0,Healthy only
train,healthy_0011.jpg,2,2,0,Healthy only
train,healthy_0012.jpg,2,2,0,Healthy only
train,healthy_0013.jpg,4,4,0,Healthy only
train,healthy_0014.jpg,6,6,0,Healthy only
train,healthy_0015.jpg,8,8,0,Healthy only
train,healthy_0016.jpg,2,2,0,Healthy only
train,healthy_0017.jpg,3,3,0,Healthy only
train,healthy_0018.jpg,3,3,0,Healthy only
train,healthy_0019.jpg,4,4,0,Healthy only
train,healthy_0020.jpg,3,3,0,Healthy only
train,healthy_0021.jpg,5,5,0,Healthy only
train,healthy_0022.jpg,5,5,0,Healthy only
train,healthy_0023.jpg,4,4,0,Healthy only
train,healthy_0024.jpg,4,4,0,Healthy only
train,healthy_0025.jpg,4,4,0,Healthy only
train,healthy_0026.jpg,4,4,0,Healthy only
train,healthy_0027.jpg,3,2,1,Mixed
train,healthy_0033.jpg,5,5,0,Healthy only
train,healthy_0034.jpg,1,1,0,Healthy only
train,healthy_0035.jpg,2,2,0,Healthy only
train,healthy_0036.jpg,2,2,0,Healthy only
train,healthy_0037.jpg,2,2,0,Healthy only
train,healthy_0038.jpg,2,2,0,Healthy only
train,healthy_0039.jpg,3,3,0,Healthy only
train,healthy_0042.jpg,3,3,0,Healthy only
train,healthy_0043.jpg,2,2,0,Healthy only
train,healthy_0044.jpg,3,2,1,Mixed
train,healthy_0045.jpg,2,1,1,Mixed
train,healthy_0046.jpg,2,2,0,Healthy only
train,healthy_0047.jpg,5,5,0,Healthy only
train,healthy_0048.jpg,4,4,0,Healthy only
train,healthy_0049.jpg,4,4,0,Healthy only
train,healthy_0050.jpg,3,3,0,Healthy only
train,healthy_0051.jpg,2,2,0,Healthy only
train,healthy_0052.jpg,2,1,1,Mixed
train,healthy_0053.jpg,1,1,0,Healthy only
train,healthy_0054.jpg,1,1,0,Healthy only
train,healthy_0055.jpg,1,1,0,Healthy only
train,healthy_0056.jpg,1,1,0,Healthy only
train,healthy_0057.jpg,1,1,0,Healthy only
train,healthy_0058.jpg,1,1,0,Healthy only
train,healthy_0059.jpg,1,1,0,Healthy only
train,healthy_0063.jpg,2,2,0,Healthy only
train,healthy_0064.jpg,1,1,0,Healthy only
train,healthy_0065.jpg,1,1,0,Healthy only
train,healthy_0066.jpg,1,1,0,Healthy only
train,healthy_0067.jpg,3,3,0,Healthy only
train,healthy_0068.jpg,2,2,0,Healthy only
