epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5863,1.33065,2.00772,1.60534,0,0,0,0,0,0,0,0.000554546,0.000554546,0.000554546
2,119.693,1.38659,1.70811,1.61327,0,0,0,0,0,0,0,0.00108823,0.00108823,0.00108823
3,178.949,1.39493,1.60139,1.61139,0,0,0,0,0,0,0,0.00159991,0.00159991,0.00159991
4,237.358,1.3917,1.51816,1.60099,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
5,295.514,1.35411,1.4266,1.57571,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
6,353.166,1.32295,1.4207,1.54774,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
7,410.56,1.33593,1.38174,1.559,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,468.438,1.31745,1.34174,1.54172,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,527.432,1.30177,1.30298,1.53302,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,586.75,1.27414,1.27956,1.51028,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,647.675,1.26933,1.27829,1.50299,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,708.61,1.25339,1.22615,1.493,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,767.559,1.24001,1.22685,1.48292,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,826.966,1.23102,1.20315,1.47643,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
15,888.203,1.22541,1.19243,1.47815,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
16,948.129,1.22088,1.2079,1.47566,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
17,1008.11,1.20747,1.1983,1.46999,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
18,1068.45,1.21566,1.17576,1.46234,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
19,1129.01,1.18496,1.13897,1.44732,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
20,1189.12,1.18299,1.16033,1.44681,0,0,0,0,0,0,0,0.00103987,0.00103987,0.00103987
21,1249.42,1.18898,1.1422,1.44061,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
22,1309.11,1.17505,1.14685,1.44006,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
23,1369.63,1.17704,1.12622,1.43776,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
24,1428.83,1.1567,1.09922,1.42307,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
25,1487.85,1.1657,1.10909,1.42554,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
26,1546.93,1.14788,1.08619,1.42199,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
27,1605.87,1.13674,1.08668,1.41753,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
