epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.836,1.50981,3.0159,2.15166,0.39647,0.67226,0.4519,0.20036,1.22728,4.40518,2.37354,0.00054928,0.00054928,0.00054928
2,812.919,1.48637,2.53434,2.08848,0.80994,0.40385,0.51369,0.16574,1.96167,7.34482,2.86958,0.00108307,0.00108307,0.00108307
3,1155.72,1.486,2.33583,2.10102,0.73666,0.32051,0.44223,0.15668,1.47998,7.6796,2.64948,0.00159485,0.00159485,0.00159485
4,1484.73,1.47304,2.20912,2.04427,0.74524,0.52791,0.71067,0.21614,2.3802,3.3924,3.65116,0.00156798,0.00156798,0.00156798
5,1817.2,1.44473,2.02345,2.01195,0.48905,0.61183,0.58471,0.17903,1.74921,3.38616,2.65036,0.00153497,0.00153497,0.00153497
6,2157.24,1.41411,1.88313,1.98855,0.55143,0.81848,0.86644,0.37746,2.00904,2.87002,2.671,0.00150197,0.00150197,0.00150197
7,2461.84,1.42304,1.7732,1.99087,0.65693,0.65174,0.67142,0.34665,1.38252,2.52946,2.30382,0.00146896,0.00146896,0.00146896
8,3167.5,1.40232,1.7042,1.99279,0.8433,0.90804,0.89697,0.47329,1.2991,2.12091,2.21756,0.00143595,0.00143595,0.00143595
9,4487.41,1.38085,1.64997,1.96033,0.80712,0.77515,0.86349,0.41767,1.34151,1.98882,2.28658,0.00140295,0.00140295,0.00140295
10,6565.61,1.38372,1.64154,1.95595,0.77727,0.76537,0.84563,0.43434,1.46764,1.91788,2.23615,0.00136994,0.00136994,0.00136994
11,6991.16,1.3502,1.46536,1.95184,0.71567,0.84545,0.85093,0.45159,1.36551,1.70641,2.15249,0.00133693,0.00133693,0.00133693
12,7319.45,1.35361,1.47785,1.91787,0.67174,0.86364,0.92104,0.47252,1.38633,1.94523,2.26042,0.00130393,0.00130393,0.00130393
